合约名称,时间,最新成交价,开仓价格,平仓价格
SPY250613P00600000,2025-06-13 09:36:29,0.71,,
SPY250613P00601000,2025-06-13 09:36:29,0.91,,
SPY250613P00599000,2025-06-13 09:36:31,0.56,,
SPY250613P00600000,2025-06-13 09:36:31,0.71,,
SPY250613P00601000,2025-06-13 09:36:31,0.91,,
SPY250613P00599000,2025-06-13 09:36:34,0.56,,
SPY250613P00600000,2025-06-13 09:36:34,0.71,,
SPY250613P00601000,2025-06-13 09:36:34,0.91,,
SPY250613P00599000,2025-06-13 09:36:35,0.56,,
SPY250613P00600000,2025-06-13 09:36:35,0.71,,
SPY250613P00601000,2025-06-13 09:36:35,0.91,,
SPY250613P00599000,2025-06-13 09:36:38,0.56,,
SPY250613P00600000,2025-06-13 09:36:38,0.71,,
SPY250613P00601000,2025-06-13 09:36:38,0.91,,
SPY250613P00599000,2025-06-13 09:36:39,0.56,,
SPY250613P00600000,2025-06-13 09:36:39,0.71,,
SPY250613P00601000,2025-06-13 09:36:39,0.91,,
SPY250613P00599000,2025-06-13 09:36:42,0.56,,
SPY250613P00600000,2025-06-13 09:36:42,0.71,,
SPY250613P00601000,2025-06-13 09:36:42,0.91,,
SPY250613P00599000,2025-06-13 09:36:43,0.56,,
SPY250613P00600000,2025-06-13 09:36:43,0.71,,
SPY250613P00601000,2025-06-13 09:36:43,0.91,,
SPY250613P00599000,2025-06-13 09:36:46,0.56,,
SPY250613P00600000,2025-06-13 09:36:46,0.71,,
SPY250613P00601000,2025-06-13 09:36:46,0.91,,
SPY250613P00599000,2025-06-13 09:36:48,0.56,,
SPY250613P00600000,2025-06-13 09:36:48,0.71,,
SPY250613P00601000,2025-06-13 09:36:48,0.91,,
SPY250613P00599000,2025-06-13 09:36:50,0.56,,
SPY250613P00600000,2025-06-13 09:36:50,0.71,,
SPY250613P00601000,2025-06-13 09:36:50,0.91,,
SPY250613P00599000,2025-06-13 09:36:57,0.56,,
